.structTerrainEntry 0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26
Tier1Mounted,$80,$80,$80,1,3,$80,$80,$80,4,$80,1,1,1,$80,1,0,5,1,1,1,1,1,1,1,$80,0
Tier2Mounted,$80,$80,$80,1,3,$80,$80,3,4,$80,1,1,1,$80,1,0,5,1,1,1,1,1,1,1,$80,0
Flying,1,1,1,1,1,1,1,1,1,$80,1,1,1,$80,1,1,1,1,1,1,1,1,1,1,1,1
Infantry,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,4,1,1,1,1,1,1,1,$80,0
Armor,$80,$80,$80,1,2,$80,$80,$80,3,$80,1,1,1,$80,1,0,$80,1,1,1,1,1,1,1,$80,0
Soldier,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,5,1,1,1,1,1,1,1,$80,0
HeavyInfantry,$80,$80,$80,1,2,$80,$80,2,3,$80,1,1,1,$80,1,0,3,1,1,1,1,1,1,1,$80,0
Brigand,$80,$05,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,3,1,1,1,1,1,1,1,$80,0
Pirate,$80,$80,$80,1,2,5,5,2,2,$80,1,1,1,$80,1,0,3,1,1,1,1,1,1,1,$80,0
LightInfantry,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,5,1,1,1,1,1,1,1,$80,0
Mage,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,3,1,1,1,1,1,1,1,$80,0
Thief,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,2,1,1,1,1,1,1,1,$80,0
Civilian,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,2,1,1,1,1,1,1,1,$80,0
Ballistician,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80,$80
DarkPrince,$80,$80,$80,1,2,$80,$80,2,2,$80,1,1,1,$80,1,0,3,1,1,1,1,1,1,1,$80,0